4431,Carnesecchi,Carnesecchi Marco,P,Por,10,1,10,1,Cremonese,14,14,destro,Italia,01/07/2000 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/CARNESECCHI.png?v=29,0,6.36,4.71
2792,Musso,Musso Juan,P,Por,12,13,12,13,Atalanta,35,35,destro,Argentina;Italia,06/05/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/MUSSO.png?v=29,0,6.14,4.89
2297,Rossi F.,Rossi Francesco,P,Por,1,1,1,1,Atalanta,1,1,destro,Italia,27/04/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/ROSSI-F.png?v=29,0,0.0,0.0
4,Sportiello,Sportiello Marco,P,Por,3,1,3,1,Atalanta,1,1,destro,Italia,10/05/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SPORTIELLO.png?v=29,0,6.07,4.79
4332,Demiral,Demiral Merih,D,Dc,8,13,8,13,Atalanta,10,10,ambidestro,Turchia,05/03/1998 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DEMIRAL.png?v=29,0,5.98,6.0
787,Djimsiti,Djimsiti Berat,D,Dc,4,7,4,7,Atalanta,11,11,destro,Albania;Svizzera,16/02/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/DJIMSITI.png?v=29,0,5.88,5.77
4432,Okoli,Okoli Caleb,D,Dc,2,5,2,5,Atalanta,2,2,destro,Nigeria,13/07/2001 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/OKOLI.png?v=29,0,5.64,5.5
2181,Palomino,Palomino Josè Luis,D,Dc,4,10,4,10,Atalanta,17,18,sinistro,Argentina,05/01/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/PALOMINO.png?v=29,0,5.75,5.75
5526,Scalvini,Scalvini Giorgio,D,Dc,11,6,11,6,Atalanta,20,21,destro,Italia,11/12/2003 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/SCALVINI.png?v=29,0,6.04,6.17
695,Toloi,Toloi Rafael,D,Dc,10,8,10,8,Atalanta,16,17,destro,Brasile;Italia,10/10/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card2021/TOLOI.png?v=29,0,6.02,6.04
